about		MORE ABOUT THE APPLICATION
accountsReceivables	account receivables
Active	Active
add			Add
addFromGallery	Add from gallery
additionally	ADDITIONALLY
address		Address
agreement		Using the app, you accept the terms of the license agreement.
allStocks	All stocks
alreadyOrdered	already in order
alreadyReturned	already in return
amount		Amount
amountOfOrdersForToday	amount of orders for today
answer		Answer
apply		Apply
at	at
available	Available
autoFillOrder	Fill in the order automatically?
back		Back
baseUnit	Base unit
bitMobile	BIT.MOBILE
bitmobileDesc	BIT.MOBILE is a division of the First Bit. We are developing mobile solutions for business.
brand	Brand
brands	Brands
byDocs		DOCUMENTS
cancel		Cancel
cancel			Cancel
caps_summary	SUMMARY
choose_action	Choose action:
clear_coord		Clear
clearFilter		Clear filter?
clearValue		Clear value
clickToInsert	Click to insert
client		Client
clients		Clients
Closed	Closed
commentary	Commentary
completedVisits		COMPLETED VISITS
contact		Contact
contactName		Contact name
contacts	Contacts
contractor		Contarctor
contractors		Contarctors
coordinates	Coordinates
coordinatesAreSet	Coordinates Are Set
copy		Copy
couldnt_be_cleaned	Field couldn't be cleaned
countPrice	Count price
currency	$
current		Current
date		Date
debt	Debt
delete	Delete
deleteImage		Delete this image?
deleteItem	Delete this item
deliveryDate	Delivery date
description	Description
description	Description
details		Details
developer	DEVELOPER
discard		Discard
discount	Discount
distribution	Distribution
distributor	Distributor
distributor	Distributor
docNumber	Document number
document	Document
documentSum	Document sum
done		Done
edit		Edit
editChange		Edit
editSKU			Edit
email		E-mail
email_regexp	^(([а-яА-ЯёЁa-zA-Z0-9_-]+\.)*[а-яА-ЯёЁa-zA-Z0-9_-]+@[а-яА-ЯёЁa-zA-Z0-9_-]+(\.[а-яА-ЯёЁa-zA-Z0-9_-]+)*\.[а-яА-ЯёЁa-zA-Z]{2,6})?$
empty_field	Field couldn't be cleaned
emptyContactOwner	Contact owner field is empty
emptyList	List is empty
enc_amount_regexp	^(\d{1,8}((\.|,)\d{1,2})?)?$
encashment	Encashment
encashmentAmount	Encashment amount
encashmentSum	Encashment sum
end	Continue
endPlanTime		End Plan date
enterDateTime	Enter date, time
enterUnregistered	Enter unregistered
error	Error
errorMessage	Error message
execute		Execute
executed		executed
executedtask	TODAY EXECUTED
executionDate	Fact execution
facing		Facing
false		False
features	Features
fillInVisitReason	Reason of visit should be filled
fillNoOrderReason	Reason for not taking the order should be filled.
filter	Filter
firstBIT	The First BIT - effective solutions for your business. The leader in the automation market 1C with 17 years experience!
forward		Next
further	further
go_back	Back
groups	Groups
